timestamp,hour,date,demand
2025-07-01 00:00:00,0,2025-07-01,20
2025-07-01 01:00:00,1,2025-07-01,25
2025-07-01 02:00:00,2,2025-07-01,16
2025-07-01 03:00:00,3,2025-07-01,23
2025-07-01 04:00:00,4,2025-07-01,27
2025-07-01 05:00:00,5,2025-07-01,17
2025-07-01 06:00:00,6,2025-07-01,19
2025-07-01 07:00:00,7,2025-07-01,64
2025-07-01 08:00:00,8,2025-07-01,69
2025-07-01 09:00:00,9,2025-07-01,61
2025-07-01 10:00:00,10,2025-07-01,65
2025-07-01 11:00:00,11,2025-07-01,79
2025-07-01 12:00:00,12,2025-07-01,90
2025-07-01 13:00:00,13,2025-07-01,91
2025-07-01 14:00:00,14,2025-07-01,82
2025-07-01 15:00:00,15,2025-07-01,82
2025-07-01 16:00:00,16,2025-07-01,65
2025-07-01 17:00:00,17,2025-07-01,70
2025-07-01 18:00:00,18,2025-07-01,72
2025-07-01 19:00:00,19,2025-07-01,45
2025-07-01 20:00:00,20,2025-07-01,57
2025-07-01 21:00:00,21,2025-07-01,46
2025-07-01 22:00:00,22,2025-07-01,33
2025-07-01 23:00:00,23,2025-07-01,11
2025-07-02 00:00:00,0,2025-07-02,20
2025-07-02 01:00:00,1,2025-07-02,27
2025-07-02 02:00:00,2,2025-07-02,19
2025-07-02 03:00:00,3,2025-07-02,16
2025-07-02 04:00:00,4,2025-07-02,26
2025-07-02 05:00:00,5,2025-07-02,25
2025-07-02 06:00:00,6,2025-07-02,26
2025-07-02 07:00:00,7,2025-07-02,63
2025-07-02 08:00:00,8,2025-07-02,76
2025-07-02 09:00:00,9,2025-07-02,62
2025-07-02 10:00:00,10,2025-07-02,61
2025-07-02 11:00:00,11,2025-07-02,95
2025-07-02 12:00:00,12,2025-07-02,101
2025-07-02 13:00:00,13,2025-07-02,75
2025-07-02 14:00:00,14,2025-07-02,96
2025-07-02 15:00:00,15,2025-07-02,84
2025-07-02 16:00:00,16,2025-07-02,78
2025-07-02 17:00:00,17,2025-07-02,72
2025-07-02 18:00:00,18,2025-07-02,91
2025-07-02 19:00:00,19,2025-07-02,42
2025-07-02 20:00:00,20,2025-07-02,38
2025-07-02 21:00:00,21,2025-07-02,40
