timestamp,hour,date,demand
2025-07-01 00:00:00,0,2025-07-01,12
2025-07-01 01:00:00,1,2025-07-01,4
2025-07-01 02:00:00,2,2025-07-01,7
2025-07-01 03:00:00,3,2025-07-01,5
2025-07-01 04:00:00,4,2025-07-01,1
2025-07-01 05:00:00,5,2025-07-01,2
2025-07-01 06:00:00,6,2025-07-01,4
2025-07-01 07:00:00,7,2025-07-01,1
2025-07-01 08:00:00,8,2025-07-01,4
2025-07-01 09:00:00,9,2025-07-01,24
2025-07-01 10:00:00,10,2025-07-01,43
2025-07-01 11:00:00,11,2025-07-01,49
2025-07-01 12:00:00,12,2025-07-01,49
2025-07-01 13:00:00,13,2025-07-01,76
2025-07-01 14:00:00,14,2025-07-01,92
2025-07-01 15:00:00,15,2025-07-01,76
2025-07-01 16:00:00,16,2025-07-01,55
2025-07-01 17:00:00,17,2025-07-01,65
2025-07-01 18:00:00,18,2025-07-01,64
2025-07-01 19:00:00,19,2025-07-01,58
2025-07-01 20:00:00,20,2025-07-01,19
2025-07-01 21:00:00,21,2025-07-01,17
2025-07-01 22:00:00,22,2025-07-01,23
2025-07-01 23:00:00,23,2025-07-01,22
2025-07-02 00:00:00,0,2025-07-02,5
2025-07-02 01:00:00,1,2025-07-02,7
2025-07-02 02:00:00,2,2025-07-02,2
2025-07-02 03:00:00,3,2025-07-02,5
2025-07-02 04:00:00,4,2025-07-02,10
2025-07-02 05:00:00,5,2025-07-02,6
2025-07-02 06:00:00,6,2025-07-02,4
2025-07-02 07:00:00,7,2025-07-02,8
2025-07-02 08:00:00,8,2025-07-02,4
2025-07-02 09:00:00,9,2025-07-02,17
2025-07-02 10:00:00,10,2025-07-02,46
2025-07-02 11:00:00,11,2025-07-02,45
2025-07-02 12:00:00,12,2025-07-02,51
2025-07-02 13:00:00,13,2025-07-02,70
2025-07-02 14:00:00,14,2025-07-02,79
2025-07-02 15:00:00,15,2025-07-02,69
2025-07-02 16:00:00,16,2025-07-02,55
2025-07-02 17:00:00,17,2025-07-02,47
2025-07-02 18:00:00,18,2025-07-02,67
2025-07-02 19:00:00,19,2025-07-02,47
2025-07-02 20:00:00,20,2025-07-02,19
2025-07-02 21:00:00,21,2025-07-02,22
2025-07-02 22:00:00,22,2025-07-02,18
2025-07-02 23:00:00,23,2025-07-02,30
2025-07-03 00:00:00,0,2025-07-03,6
2025-07-03 01:00:00,1,2025-07-03,5
2025-07-03 02:00:00,2,2025-07-03,4
2025-07-03 03:00:00,3,2025-07-03,6
2025-07-03 04:00:00,4,2025-07-03,4
2025-07-03 05:00:00,5,2025-07-03,5
2025-07-03 06:00:00,6,2025-07-03,3
2025-07-03 07:00:00,7,2025-07-03,7
2025-07-03 08:00:00,8,2025-07-03,10
2025-07-03 09:00:00,9,2025-07-03,26
2025-07-03 10:00:00,10,2025-07-03,36
2025-07-03 11:00:00,11,2025-07-03,50
2025-07-03 12:00:00,12,2025-07-03,47
2025-07-03 13:00:00,13,2025-07-03,75
2025-07-03 14:00:00,14,2025-07-03,84
2025-07-03 15:00:00,15,2025-07-03,99
2025-07-03 16:00:00,16,2025-07-03,68
2025-07-03 17:00:00,17,2025-07-03,63
2025-07-03 18:00:00,18,2025-07-03,80
2025-07-03 19:00:00,19,2025-07-03,66
2025-07-03 20:00:00,20,2025-07-03,23
2025-07-03 21:00:00,21,2025-07-03,31
2025-07-03 22:00:00,22,2025-07-03,14
2025-07-03 23:00:00,23,2025-07-03,18
2025-07-04 00:00:00,0,2025-07-04,5
2025-07-04 01:00:00,1,2025-07-04,13
2025-07-04 02:00:00,2,2025-07-04,6
2025-07-04 03:00:00,3,2025-07-04,2
2025-07-04 04:00:00,4,2025-07-04,2
2025-07-04 05:00:00,5,2025-07-04,5
2025-07-04 06:00:00,6,2025-07-04,3
2025-07-04 07:00:00,7,2025-07-04,3
2025-07-04 08:00:00,8,2025-07-04,4
2025-07-04 09:00:00,9,2025-07-04,24
2025-07-04 10:00:00,10,2025-07-04,47
2025-07-04 11:00:00,11,2025-07-04,40
2025-07-04 12:00:00,12,2025-07-04,50
2025-07-04 13:00:00,13,2025-07-04,78
2025-07-04 14:00:00,14,2025-07-04,82
2025-07-04 15:00:00,15,2025-07-04,82
2025-07-04 16:00:00,16,2025-07-04,71
2025-07-04 17:00:00,17,2025-07-04,59
2025-07-04 18:00:00,18,2025-07-04,67
2025-07-04 19:00:00,19,2025-07-04,51
2025-07-04 20:00:00,20,2025-07-04,20
2025-07-04 21:00:00,21,2025-07-04,14
2025-07-04 22:00:00,22,2025-07-04,22
2025-07-04 23:00:00,23,2025-07-04,19
2025-07-05 00:00:00,0,2025-07-05,10
2025-07-05 01:00:00,1,2025-07-05,6
2025-07-05 02:00:00,2,2025-07-05,5
2025-07-05 03:00:00,3,2025-07-05,11
2025-07-05 04:00:00,4,2025-07-05,10
2025-07-05 05:00:00,5,2025-07-05,11
2025-07-05 06:00:00,6,2025-07-05,7
2025-07-05 07:00:00,7,2025-07-05,9
2025-07-05 08:00:00,8,2025-07-05,6
2025-07-05 09:00:00,9,2025-07-05,26
2025-07-05 10:00:00,10,2025-07-05,62
2025-07-05 11:00:00,11,2025-07-05,78
2025-07-05 12:00:00,12,2025-07-05,91
2025-07-05 13:00:00,13,2025-07-05,110
2025-07-05 14:00:00,14,2025-07-05,129
2025-07-05 15:00:00,15,2025-07-05,138
2025-07-05 16:00:00,16,2025-07-05,93
2025-07-05 17:00:00,17,2025-07-05,90
2025-07-05 18:00:00,18,2025-07-05,76
2025-07-05 19:00:00,19,2025-07-05,84
2025-07-05 20:00:00,20,2025-07-05,26
2025-07-05 21:00:00,21,2025-07-05,30
2025-07-05 22:00:00,22,2025-07-05,30
2025-07-05 23:00:00,23,2025-07-05,30
2025-07-06 00:00:00,0,2025-07-06,12
2025-07-06 01:00:00,1,2025-07-06,12
2025-07-06 02:00:00,2,2025-07-06,8
2025-07-06 03:00:00,3,2025-07-06,9
2025-07-06 04:00:00,4,2025-07-06,7
2025-07-06 05:00:00,5,2025-07-06,11
2025-07-06 06:00:00,6,2025-07-06,7
2025-07-06 07:00:00,7,2025-07-06,12
