employee_id,skill_level,max_week_hours,preferred_shift,base_productivity
HOS_E1000,2,40,morning,0.97
HOS_E1001,2,40,evening,0.99
HOS_E1002,2,40,morning,1.1
HOS_E1003,3,48,morning,1.05
HOS_E1004,2,36,flex,0.99
HOS_E1005,2,40,morning,1.01
HOS_E1006,3,40,afternoon,0.92
HOS_E1007,2,40,afternoon,0.99
HOS_E1008,2,48,morning,0.9
HOS_E1009,3,36,afternoon,1.03
HOS_E1010,2,36,evening,1.04
HOS_E1011,2,40,evening,1.01
HOS_E1012,2,36,morning,0.96
HOS_E1013,3,48,flex,0.94
HOS_E1014,3,40,morning,1.05
HOS_E1015,2,40,morning,1.01
HOS_E1016,2,40,afternoon,1.0
HOS_E1017,3,36,afternoon,1.03
HOS_E1018,3,36,morning,0.96
HOS_E1019,2,40,morning,0.98
HOS_E1020,3,48,afternoon,1.01
HOS_E1021,2,40,morning,0.95
HOS_E1022,3,40,morning,0.9
HOS_E1023,3,48,morning,0.99
HOS_E1024,2,40,afternoon,1.03
HOS_E1025,2,40,afternoon,0.94
HOS_E1026,3,40,afternoon,0.98
HOS_E1027,2,36,morning,1.09
HOS_E1028,2,40,afternoon,0.98
HOS_E1029,2,36,afternoon,1.1
HOS_E1030,3,36,afternoon,1.01
HOS_E1031,2,40,evening,1.02
HOS_E1032,2,48,afternoon,1.12
HOS_E1033,3,40,evening,1.0
HOS_E1034,2,40,evening,1.05
HOS_E1035,2,40,evening,1.05
HOS_E1036,3,40,afternoon,1.03
HOS_E1037,3,36,evening,1.04
HOS_E1038,3,40,evening,1.01
HOS_E1039,3,40,flex,1.0
HOS_E1040,3,48,afternoon,0.9
HOS_E1041,2,40,afternoon,1.02
HOS_E1042,2,48,afternoon,0.87
HOS_E1043,2,48,morning,1.05
HOS_E1044,3,40,afternoon,0.93
HOS_E1045,2,40,evening,1.01
HOS_E1046,2,40,morning,0.96
HOS_E1047,2,40,morning,1.09
HOS_E1048,2,40,flex,0.98
HOS_E1049,3,40,afternoon,0.93
HOS_E1050,2,36,afternoon,1.0
HOS_E1051,3,40,afternoon,1.04
HOS_E1052,3,40,afternoon,1.05
HOS_E1053,2,40,morning,0.99
HOS_E1054,2,40,evening,0.9
HOS_E1055,3,36,evening,0.98
HOS_E1056,3,40,flex,0.95
HOS_E1057,2,40,morning,1.05
HOS_E1058,3,36,afternoon,1.04
HOS_E1059,2,40,morning,1.02
