employee_id,skill_level,max_week_hours,preferred_shift,base_productivity
RET_E1000,1,24,morning,1.02
RET_E1001,1,32,flex,1.06
RET_E1002,1,24,morning,1.03
RET_E1003,1,32,morning,1.06
RET_E1004,2,24,flex,0.95
RET_E1005,1,32,morning,0.96
RET_E1006,2,24,morning,0.89
RET_E1007,1,24,afternoon,1.03
RET_E1008,2,40,evening,1.02
RET_E1009,2,24,afternoon,1.02
RET_E1010,1,24,morning,1.04
RET_E1011,2,32,flex,1.04
RET_E1012,1,24,morning,1.0
RET_E1013,2,32,morning,1.0
RET_E1014,2,40,afternoon,1.05
RET_E1015,2,32,flex,1.01
RET_E1016,2,24,afternoon,0.98
RET_E1017,1,24,afternoon,1.0
RET_E1018,1,24,morning,1.01
RET_E1019,1,40,flex,1.03
RET_E1020,1,32,afternoon,0.9
RET_E1021,2,24,flex,1.0
RET_E1022,2,32,morning,0.96
RET_E1023,1,32,morning,0.91
RET_E1024,2,24,afternoon,0.96
RET_E1025,1,32,morning,1.08
RET_E1026,1,40,flex,1.05
RET_E1027,1,32,afternoon,1.0
RET_E1028,2,32,morning,1.02
RET_E1029,1,32,afternoon,1.01
RET_E1030,2,32,morning,0.95
RET_E1031,1,40,flex,1.05
RET_E1032,1,24,morning,0.97
RET_E1033,1,40,afternoon,1.03
RET_E1034,2,24,afternoon,0.98
RET_E1035,2,32,evening,0.97
RET_E1036,2,40,morning,0.95
RET_E1037,1,40,afternoon,0.94
RET_E1038,1,32,afternoon,0.93
RET_E1039,1,40,flex,0.94
RET_E1040,1,24,morning,1.03
RET_E1041,1,40,afternoon,1.1
RET_E1042,1,40,afternoon,1.01
RET_E1043,1,40,afternoon,1.13
RET_E1044,2,24,flex,0.97
RET_E1045,2,32,afternoon,0.98
RET_E1046,2,32,afternoon,1.05
RET_E1047,2,32,morning,1.02
RET_E1048,2,24,afternoon,1.07
RET_E1049,2,40,flex,0.98
