employee_id,timestamp,date,hour,assigned_hours,week,preferred_shift_match,skill_level,base_productivity
CAL_E1000,2025-07-01 00:00:00,2025-07-01,0,1.0,27,1,2,0.98
CAL_E1004,2025-07-01 00:00:00,2025-07-01,0,1.0,27,0,2,0.92
CAL_E1008,2025-07-01 00:00:00,2025-07-01,0,1.0,27,0,2,1.11
CAL_E1010,2025-07-01 00:00:00,2025-07-01,0,1.0,27,0,2,0.99
CAL_E1015,2025-07-01 00:00:00,2025-07-01,0,1.0,27,0,2,0.94
CAL_E1023,2025-07-01 00:00:00,2025-07-01,0,1.0,27,1,1,1.06
CAL_E1031,2025-07-01 00:00:00,2025-07-01,0,1.0,27,1,1,0.98
CAL_E1035,2025-07-01 00:00:00,2025-07-01,0,1.0,27,1,1,1.02
CAL_E1017,2025-07-01 01:00:00,2025-07-01,1,1.0,27,0,2,1.0
CAL_E1019,2025-07-01 01:00:00,2025-07-01,1,1.0,27,0,2,1.01
CAL_E1022,2025-07-01 01:00:00,2025-07-01,1,1.0,27,0,2,1.11
CAL_E1030,2025-07-01 02:00:00,2025-07-01,2,1.0,27,0,2,0.96
CAL_E1033,2025-07-01 02:00:00,2025-07-01,2,1.0,27,0,2,0.99
CAL_E1037,2025-07-01 02:00:00,2025-07-01,2,1.0,27,0,2,1.03
CAL_E1041,2025-07-01 02:00:00,2025-07-01,2,1.0,27,0,2,0.99
CAL_E1001,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,0.95
CAL_E1002,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,1.15
CAL_E1003,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,0.94
CAL_E1005,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,1.04
CAL_E1006,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,0.89
CAL_E1007,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,0.93
CAL_E1009,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,1,1.03
CAL_E1043,2025-07-01 03:00:00,2025-07-01,3,1.0,27,0,2,1.08
CAL_E1011,2025-07-01 04:00:00,2025-07-01,4,1.0,27,0,1,1.02
CAL_E1012,2025-07-01 04:00:00,2025-07-01,4,1.0,27,0,1,1.0
CAL_E1013,2025-07-01 04:00:00,2025-07-01,4,1.0,27,0,1,1.02
CAL_E1014,2025-07-01 05:00:00,2025-07-01,5,1.0,27,0,1,0.99
CAL_E1016,2025-07-01 05:00:00,2025-07-01,5,1.0,27,0,1,1.01
CAL_E1018,2025-07-01 05:00:00,2025-07-01,5,1.0,27,0,1,1.05
CAL_E1020,2025-07-01 06:00:00,2025-07-01,6,1.0,27,0,1,0.99
CAL_E1021,2025-07-01 06:00:00,2025-07-01,6,1.0,27,0,1,1.03
CAL_E1024,2025-07-01 06:00:00,2025-07-01,6,1.0,27,0,1,0.98
CAL_E1025,2025-07-01 06:00:00,2025-07-01,6,1.0,27,0,1,0.98
CAL_E1026,2025-07-01 07:00:00,2025-07-01,7,1.0,27,0,1,0.99
CAL_E1027,2025-07-01 07:00:00,2025-07-01,7,1.0,27,0,1,1.04
CAL_E1028,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,1.03
CAL_E1029,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,1.13
CAL_E1032,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,0.95
CAL_E1034,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,1.01
CAL_E1040,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,1.0
CAL_E1042,2025-07-01 07:00:00,2025-07-01,7,1.0,27,1,1,0.96
CAL_E1000,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,2,0.98
CAL_E1002,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,1.15
CAL_E1005,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,1.04
CAL_E1006,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,0.89
CAL_E1008,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,2,1.11
CAL_E1010,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,2,0.99
CAL_E1011,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,1.02
CAL_E1015,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,2,0.94
CAL_E1016,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,1.01
CAL_E1020,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,0.99
CAL_E1023,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,1.06
CAL_E1024,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,0.98
CAL_E1025,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,1,0.98
CAL_E1043,2025-07-01 08:00:00,2025-07-01,8,1.0,27,1,2,1.08
CAL_E1000,2025-07-01 09:00:00,2025-07-01,9,1.0,27,1,2,0.98
CAL_E1001,2025-07-01 09:00:00,2025-07-01,9,1.0,27,0,1,0.95
CAL_E1002,2025-07-01 09:00:00,2025-07-01,9,1.0,27,1,1,1.15
CAL_E1003,2025-07-01 09:00:00,2025-07-01,9,1.0,27,0,1,0.94
CAL_E1004,2025-07-01 09:00:00,2025-07-01,9,1.0,27,0,2,0.92
